"instPkgs" "instVers"
"xopen" "1.0.0"
"xtable" "1.8-4"
"xts" "0.11-2"
"yaml" "2.2.0"
"zeallot" "0.1.0"
"zip" "2.0.4"
"zoo" "1.8-6"
"base" "3.6.3"
"boot" "1.3-24"
"class" "7.3-15"
"cluster" "2.1.0"
"codetools" "0.2-16"
"compiler" "3.6.3"
"datasets" "3.6.3"
"foreign" "0.8-75"
"graphics" "3.6.3"
"grDevices" "3.6.3"
"grid" "3.6.3"
"KernSmooth" "2.23-16"
"lattice" "0.20-38"
"MASS" "7.3-51.5"
"Matrix" "1.2-18"
"methods" "3.6.3"
"mgcv" "1.8-31"
"nlme" "3.1-144"
"nnet" "7.3-12"
"parallel" "3.6.3"
"rpart" "4.1-15"
"spatial" "7.3-11"
"splines" "3.6.3"
"stats" "3.6.3"
"stats4" "3.6.3"
"survival" "3.1-8"
"tcltk" "3.6.3"
"tools" "3.6.3"
"translations" "3.6.3"
"utils" "3.6.3"
